date,coordinates
20220812,"-127.396683, 56.28445"
20220915,"-121.1077, 56.68575"
20220809,"-121.50495, 50.104883"
20220628,"-126.20845, 52.457967"
20220912,"-123.320117, 49.722217"
20220813,"-127.371133, 54.90655"
20220928,"-119.426567, 49.31865"
20220819,"-118.43545, 50.958267"
20220801,"-121.2022, 51.81905"
20220825,"-122.69805, 52.475117"
20220811,"-120.613717, 49.977117"
20220819,"-118.16245, 51.160917"
20220801,"-119.7315, 51.48005"
20220819,"-118.173283, 51.527083"
20220824,"-121.39575, 49.80225"
20220812,"-126.7108, 54.28535"
20220820,"-125.8435, 52.379733"
20220623,"-127.981083, 57.703867"
20230317,"-121.821217, 50.8862"
20230327,"-120.176617, 50.61445"
20220822,"-119.755467, 49.65"
20220822,"-125.5429, 54.239567"
20220811,"-121.701183, 51.629367"
20220628,"-120.1167, 51.01545"
20220827,"-121.311717, 51.241833"
20220812,"-121.483883, 50.540417"
20220811,"-116.47955, 49.208633"
20221008,"-122.136, 49.1255"
20220801,"-117.6875, 50.881367"
20220827,"-116.546283, 49.752717"
20220630,"-123.847917, 55.2116"
20221018,"-121.11145, 56.7189"
20220822,"-121.649795, 56.725028"
20220822,"-116.166733, 50.75365"
20220708,"-117.28175, 49.402833"
20220812,"-120.335283, 50.527867"
20220822,"-122.058117, 52.002467"
20220819,"-126.81, 53.087033"
20221009,"-118.3054, 49.010633"
20220811,"-120.335417, 50.54655"
20220801,"-121.710783, 51.597867"
20220703,"-123.79, 59.6215"
20220701,"-130.5595, 59.527617"
20220801,"-120.242633, 52.197117"
20220821,"-124.185067, 52.1036"
20220510,"-124.083533, 52.190633"
20220706,"-130.792616, 56.583416"
20220825,"-122.4979, 50.48885"
20220425,"-120.733033, 51.379883"
20221008,"-121.7497, 49.854333"
20220827,"-117.441367, 49.4287"
20220726,"-119.604917, 49.355683"
20220825,"-121.363033, 49.911217"
20230330,"-120.843633, 50.140783"
20221017,"-125.4612, 56.372933"
20220801,"-120.193967, 53.358533"
20221120,"-124.669383, 49.289117"
20220801,"-121.601783, 51.8273"
20220819,"-125.728583, 49.49455"
20221027,"-119.9818, 49.232067"
20220612,"-121.618783, 55.501117"
20220828,"-120.347983, 49.282"
20221009,"-119.42435, 49.464283"
20220812,"-122.080283, 55.445"
20220809,"-119.036967, 51.319133"
20220811,"-117.250383, 50.012367"
20220628,"-124.730067, 50.87515"
20220830,"-126.458633, 50.03125"
20220826,"-120.113667, 51.0"
20220913,"-121.9722, 49.613167"
20220830,"-120.768883, 49.317667"
20221006,"-122.4778, 49.307333"
20220811,"-117.617333, 49.612117"
20220818,"-122.178666, 55.196667"
20221008,"-121.807166, 49.591083"
20220729,"-118.884033, 51.235283"
20220819,"-118.656417, 49.01645"
20221016,"-114.8578, 50.037167"
20220628,"-123.025, 54.08455"
20220718,"-120.669207, 50.760814"
20220821,"-121.376833, 52.936"
20220520,"-119.78965, 49.832867"
20220730,"-119.0622, 49.617783"
20220729,"-119.790333, 50.779467"
20220801,"-119.964917, 51.11645"
20220812,"-117.86615, 50.92815"
20220818,"-121.524033, 52.131883"
20220417,"-123.40455, 52.10495"
20220819,"-118.105783, 51.494667"
20220819,"-119.097167, 52.52085"
20220901,"-122.84355, 54.70895"
20220826,"-121.329517, 51.841083"
20221011,"-119.605833, 49.90345"
20220831,"-118.990717, 51.316533"
20220826,"-121.455033, 51.62"
20220823,"-121.309533, 49.300833"
20220722,"-117.06215, 49.564383"
20220729,"-119.851867, 51.427933"
20220831,"-119.1255, 50.826467"
20220823,"-117.222833, 49.435083"
20220823,"-121.4398, 49.1502"
20221004,"-121.402967, 49.450083"
20220831,"-120.678533, 52.580883"
20221005,"-121.968233, 56.51205"
20220429,"-119.900783, 50.55645"
20221026,"-124.724917, 51.809783"
20220819,"-120.91425, 49.900033"
20220703,"-119.627317, 49.390867"
20220826,"-121.276267, 51.58205"
20220801,"-120.933533, 51.793217"
20220422,"-118.748933, 49.648083"
20220824,"-120.9143, 52.674367"
20220823,"-117.2617, 49.4133"
20221011,"-123.832833, 59.855917"
20220812,"-123.01005, 53.642967"
20220723,"-120.31025, 49.559"
20220819,"-119.243883, 50.19955"
20220810,"-123.66425, 52.092033"
20220722,"-119.23065, 50.214233"
20221004,"-124.019217, 49.163983"
20220913,"-121.3358, 51.6218"
20220627,"-121.9063, 49.302"
20221118,"-121.190266, 49.204983"
20220705,"-130.2919, 57.034933"
20220704,"-129.339067, 56.244533"
20220827,"-116.667583, 49.337167"
20220717,"-118.311667, 52.07925"
20221027,"-115.834583, 49.433783"
20221010,"-118.863267, 51.272283"
20221007,"-119.276783, 49.99875"
20220822,"-122.176333, 51.864633"
20221018,"-123.163525, 51.918389"
20220704,"-127.67845, 55.484033"
20220814,"-125.73, 49.655883"
20220722,"-117.776317, 49.530583"
20220722,"-118.8666, 49.578117"
20221116,"-126.060083, 49.646917"
20220502,"-119.896633, 50.616667"
20221017,"-123.58355, 55.56325"
20220826,"-116.801083, 50.233167"
20221003,"-120.509467, 49.908367"
20220811,"-117.804333, 50.381717"
20220729,"-118.75495, 50.247367"
20220811,"-117.325717, 49.603217"
20220904,"-122.261, 49.329"
20220725,"-119.625633, 49.515783"
20220717,"-117.405083, 52.021833"
20220729,"-118.685167, 51.0255"
20220728,"-118.726333, 51.018167"
20230329,"-123.103433, 51.940983"
20220502,"-119.818517, 50.433817"
20221023,"-119.5111, 49.568667"
20220723,"-122.2803, 49.142083"
20220814,"-126.295333, 50.000083"
20220819,"-118.7426, 49.038317"
20220608,"-121.8468, 50.619683"
20220805,"-123.8393, 48.989217"
20220426,"-120.001217, 50.535167"
20220819,"-123.992883, 48.98495"
20221002,"-123.114367, 49.839033"
20220810,"-125.485117, 49.61725"
20220909,"-119.77555, 50.738083"
20220823,"-122.0961, 52.5008"
20220729,"-119.5547, 51.412233"
20221007,"-123.854083, 48.7578"
20221007,"-119.209417, 50.639733"
20220811,"-120.23295, 52.358717"
